Index,Sequence,label,Start_time,End_time,output,conv1,conv2,conv3
141,310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 285 310 310 310 310 310 310 310 310 310 310 310 285 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 285 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 310 301 301 301 301 301 301 301 301 301 294 294 294 294 294 294 294 294 294 235 235 235 235 235 235 235 235 235 251 251 251 251 251 251 251 251 251 250 250 250 250 250 250 250 250 250 256 256 256 256 256 256 256 256 256 247 247 247 247 247 247 247 247 247 239 239 239 239 239 239 239 239 239 262 262 262 262 262 262 262 262 262 241 241 241 241 241 241 241 241 241 236 236 236 236 236 236 236 236 236 262 262 262 262 262 262 262 262 262 233 233 233 233 233 233 233 233 233 242 242 242 242 242 242 242 242 242 267 267 267 267 267 267 267 267 267 174 174 174 174 174 174 174 174 174 197 197 197 197 197 197 197 197 197 171 171 171 171 171 171 171 171 171 203 203 203 203 203 203 203 203 203 205 205 205 205 205 205 205 205 205 183 183 183 183 183 183 183 183 183 169 169 169 169 169 169 169 169 169 269 269 269 269 269 269 269 269 269 273 273 273 273 273 273 273 273 273 313 313 313 313 313 313 313 313 313 306 306 306 306 306 306 306 306 306 264 264 264 264 264 264 264 264 264,1,2005-06-05-07.08.02.319497,2005-06-05 07:08:15.613746,"-6.332840919494629,4.804821491241455","3.517651319503784,2.6791319847106934,0.7512915730476379,4.320957183837891,2.2508668899536133,0.985077440738678,0.6882320642471313,0.47407716512680054,4.899978160858154,0.7149081230163574,1.5545034408569336,2.042865753173828,4.712258338928223,2.0223076343536377,1.7190512418746948,8.350876808166504","6.618406295776367,3.4839460849761963,7.262152194976807,4.946577072143555,1.3679221868515015,6.781237602233887,7.962944984436035,0.8698400855064392,6.6173996925354,0.4633529782295227,7.296624183654785,10.437638282775879,2.1475751399993896,2.3697197437286377,6.414527893066406,2.1942903995513916","2.1936752796173096,1.6254254579544067,4.753636360168457,0.09579012542963028,3.0352296829223633,1.3380155563354492,5.783702850341797,0.0,3.67730975151062,1.362998127937317,1.4436947107315063,3.0053789615631104,0.13020074367523193,0.955944836139679,2.219034194946289,1.522003412246704"
8626,46 46 46 46 46 219 219 219 219 219 219 219 219 46,0,2005-09-07-08.09.17.518691,2005-09-07 08:09:46.545196,"5.972625732421875,-5.466210842132568","0.0,4.901030540466309,0.7235088348388672,0.0,6.4131879806518555,3.051027297973633,3.443120002746582,1.7068580389022827,0.0,3.160247325897217,0.0,4.102851390838623,0.0,5.23329496383667,3.496281385421753,0.0","0.0,0.0,0.0,0.0,2.9689645767211914,0.0,0.0,3.4519309997558594,0.0,2.9523537158966064,0.0,0.0,5.723016262054443,7.217903137207031,0.0,5.412962436676025","0.0,5.001564979553223,0.0,0.0,7.832182884216309,3.616023063659668,0.0,0.0,8.264715194702148,0.0,4.257513046264648,0.0,1.1929885149002075,3.6876790523529053,6.042014122009277,4.130646705627441"
8458,94 218 218 94 94 94 94 94 94 94 94 94 94 94 94 94 94 94 94 218 218 63 70 70 94 99 99 94 218 218 94 94 94 94 94 94 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 70 63 314 99 314 314 314 314 314 314 314 314 314 314 191 314 314 191 314 314 191 314 314 314 314 314 314 191 99 99 314 314 314 191 314 314 191 314 314 314 314 314 191 191 191 314 314 314 191 314 314 99 191 314 314 191 191 191 314 314 314 314 191 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 191 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314,0,2005-09-03-23.30.54.650495,2005-09-03 23:31:04.769171,"5.4721455574035645,-5.140369892120361","0.0,5.003833770751953,0.991144597530365,0.0,6.345378875732422,3.0025417804718018,3.1319174766540527,1.6583266258239746,0.0,2.6860532760620117,0.0,3.5763168334960938,0.0,4.508560657501221,3.6295816898345947,0.0","0.0,0.0,0.0,0.0,2.940523386001587,0.0,0.0,3.299745559692383,0.0,2.8044610023498535,0.0,0.0,5.6030049324035645,6.174360752105713,0.0,5.27410364151001","0.0,5.072330951690674,0.0,0.14491897821426392,5.798783302307129,3.2451095581054688,0.0,0.0,8.085357666015625,0.0,4.173929214477539,0.0,1.232543706893921,2.65023136138916,5.242618560791016,4.024196624755859"
1668,208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208,0,2005-06-14-21.55.26.343648,2005-06-14 21:56:02.092979,"3.1223628520965576,-3.3220221996307373","0.0,2.937291145324707,1.105194091796875,0.0,3.4501614570617676,1.8112705945968628,1.5229873657226562,0.690284788608551,0.0,1.4309604167938232,0.0,2.333984375,0.0,3.2021563053131104,1.9433238506317139,0.0","0.0,0.0,0.0,0.0,1.6780779361724854,0.0,0.0,1.8392601013183594,0.0,0.7556156516075134,0.0,0.0,3.0128533840179443,4.407777786254883,0.0,3.3550660610198975","0.0,2.8456521034240723,0.0,0.0,4.8943891525268555,1.8340849876403809,0.0,0.0,5.219708442687988,0.0,2.4541664123535156,0.0,0.20374053716659546,1.5400516986846924,3.001727342605591,2.8834691047668457"
8156,94 314 191 94 314 191,0,2005-09-01-17.41.21.618792,2005-09-01 17:41:32.189135,"6.085187911987305,-5.612995147705078","0.0,5.107659816741943,0.6730313897132874,0.0,6.5375285148620605,3.261017322540283,3.3642375469207764,1.7033512592315674,0.0,3.355783700942993,0.0,4.0831756591796875,0.0,5.510663986206055,3.5339341163635254,0.0","0.0,0.0,0.0,0.0,3.2156245708465576,0.0,0.0,3.460991382598877,0.0,2.7733569145202637,0.0,0.0,5.914813041687012,7.402876853942871,0.0,5.6979570388793945","0.0,5.084114074707031,0.0,0.0,7.974274635314941,3.4648211002349854,0.0,0.0,8.694695472717285,0.0,4.3115363121032715,0.0,1.089638113975525,3.717923879623413,6.347551345825195,4.36483907699585"
8657,94 94 94 314 94 94 314 94 314 191 314 314 191 314 191 191 191 191,0,2005-09-07-12.38.10.423086,2005-09-07 12:38:12.300880,"6.51942253112793,-6.018579006195068","0.0,5.652549743652344,0.8141074180603027,0.0,7.456847190856934,3.5226104259490967,3.6093626022338867,1.8673808574676514,0.0,3.4880211353302,0.0,4.237987518310547,0.0,5.818073272705078,3.582568883895874,0.0","0.0,0.0,0.0,0.0,3.147512674331665,0.0,0.0,3.8656725883483887,0.0,3.0482985973358154,0.0,0.0,6.453424453735352,8.019864082336426,0.0,6.3198018074035645","0.0,5.709619998931885,0.0,0.0,8.268836975097656,3.7580573558807373,0.0,0.0,9.454917907714844,0.0,4.890678882598877,0.0,1.0682653188705444,3.804734706878662,6.739614009857178,4.610480785369873"
292,208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208,0,2005-06-06-11.09.50.366061,2005-06-06 11:10:26.069205,"3.1223628520965576,-3.3220221996307373","0.0,2.937291145324707,1.105194091796875,0.0,3.4501614570617676,1.8112705945968628,1.5229873657226562,0.690284788608551,0.0,1.4309604167938232,0.0,2.333984375,0.0,3.2021563053131104,1.9433238506317139,0.0","0.0,0.0,0.0,0.0,1.6780779361724854,0.0,0.0,1.8392601013183594,0.0,0.7556156516075134,0.0,0.0,3.0128533840179443,4.407777786254883,0.0,3.3550660610198975","0.0,2.8456521034240723,0.0,0.0,4.8943891525268555,1.8340849876403809,0.0,0.0,5.219708442687988,0.0,2.4541664123535156,0.0,0.20374053716659546,1.5400516986846924,3.001727342605591,2.8834691047668457"
8964,94 94 70 218 94 94 99 314 314 70 314 314 99 191 191 70 191 191 70 70 70 99 99 99,0,2005-09-15-23.24.03.985625,2005-09-15 23:24:07.447058,"6.262946605682373,-5.798659801483154","0.0,5.438986301422119,0.8914709687232971,0.0,7.13185453414917,3.4610795974731445,3.446629762649536,1.7500603199005127,0.0,3.148681402206421,0.0,4.173089504241943,0.0,5.254154205322266,3.5962986946105957,0.0","0.0,0.0,0.0,0.0,3.204906940460205,0.0,0.0,3.7020626068115234,0.0,3.13102126121521,0.0,0.0,6.248676300048828,7.196516036987305,0.0,5.974051475524902","0.0,5.625022888183594,0.0,0.023275408893823624,7.784994602203369,3.6477577686309814,0.0,0.0,9.037434577941895,0.0,4.767611503601074,0.0,1.2228198051452637,3.655637502670288,6.0087456703186035,4.5950469970703125"
8943,94 94 314 314 191 314 314 191,0,2005-09-15-04.16.31.391899,2005-09-15 04:16:32.431592,"6.044726848602295,-5.5574631690979","0.0,5.0718994140625,0.7221364974975586,0.0,6.499825954437256,3.098686933517456,3.22408127784729,1.7075926065444946,0.0,3.3773131370544434,0.0,4.109663963317871,0.0,5.530707836151123,3.549020290374756,0.0","0.0,0.0,0.0,0.0,3.049503803253174,0.0,0.0,3.357348680496216,0.0,2.928828477859497,0.0,0.0,5.7721357345581055,7.447766304016113,0.0,5.690438747406006","0.0,4.992812633514404,0.0,0.0,8.034171104431152,3.484210729598999,0.0,0.0,8.661238670349121,0.0,4.239724636077881,0.0,1.1649278402328491,3.7255051136016846,6.332815170288086,4.30149507522583"
5734,146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 146 16,0,2005-08-02-21.29.03.567367,2005-08-02 21:29:20.635839,"5.8462138175964355,-5.3206377029418945","0.0,4.758564472198486,0.5560218095779419,0.0,6.23086404800415,2.868802785873413,3.351536512374878,1.6041971445083618,0.0,3.172165870666504,0.0,4.086683750152588,0.0,5.197731971740723,3.4458272457122803,0.0","0.0,0.0,0.0,0.0,2.916600227355957,0.0,0.0,3.2771873474121094,0.0,2.8965768814086914,0.0,0.0,5.427241325378418,7.179419994354248,0.0,5.3853325843811035","0.0,4.870267391204834,0.0,0.0,7.782516956329346,3.561870813369751,0.0,0.0,8.330313682556152,0.0,4.0074310302734375,0.0,1.1968837976455688,3.7531070709228516,6.100357532501221,3.681628465652466"
8188,94 314 191 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 218 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.11.09.255940,2005-09-02 06:11:20.983302,"5.699885845184326,-5.312037467956543","0.0,5.248055458068848,0.63472980260849,0.0,6.901885986328125,3.3611369132995605,3.5141541957855225,1.5363044738769531,0.0,2.7183263301849365,0.0,3.3901281356811523,0.0,4.572274684906006,3.589505672454834,0.0","0.0,0.0,0.0,0.0,3.1997480392456055,0.0,0.0,3.599755048751831,0.0,2.7420692443847656,0.0,0.0,5.9890055656433105,6.175523281097412,0.0,5.45849084854126","0.0,5.175662040710449,0.0,0.0,5.8890461921691895,3.2240965366363525,0.0,0.0,8.261573791503906,0.0,4.4097065925598145,0.0,0.9240350127220154,2.992575168609619,5.388012409210205,4.248538970947266"
1669,208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208 208,0,2005-06-14-21.56.02.247260,2005-06-14 21:56:38.005457,"3.1223628520965576,-3.3220221996307373","0.0,2.937291145324707,1.105194091796875,0.0,3.4501614570617676,1.8112705945968628,1.5229873657226562,0.690284788608551,0.0,1.4309604167938232,0.0,2.333984375,0.0,3.2021563053131104,1.9433238506317139,0.0","0.0,0.0,0.0,0.0,1.6780779361724854,0.0,0.0,1.8392601013183594,0.0,0.7556156516075134,0.0,0.0,3.0128533840179443,4.407777786254883,0.0,3.3550660610198975","0.0,2.8456521034240723,0.0,0.0,4.8943891525268555,1.8340849876403809,0.0,0.0,5.219708442687988,0.0,2.4541664123535156,0.0,0.20374053716659546,1.5400516986846924,3.001727342605591,2.8834691047668457"
71,94 94 314 218 314 218 218 191 191,0,2005-06-04-04.53.02.490873,2005-06-04 04:53:03.243799,"6.250235557556152,-5.736816883087158","0.0,5.292329788208008,0.8619003295898438,0.0,7.032104969024658,3.3159005641937256,3.3375399112701416,1.9147634506225586,0.0,3.438445806503296,0.0,4.186944484710693,0.0,5.764849662780762,3.4063942432403564,0.0","0.0,0.0,0.0,0.0,3.0684821605682373,0.0,0.0,3.4570178985595703,0.0,2.9583609104156494,0.0,0.0,5.800068378448486,7.945889949798584,0.0,6.110167026519775","0.0,5.30793571472168,0.0,0.16514456272125244,8.210477828979492,3.739295482635498,0.0,0.0,8.97864055633545,0.0,4.412150859832764,0.0,1.3450956344604492,3.710514545440674,6.519680976867676,4.18464994430542"
8668,48 48 48 48 48 48 48 48,0,2005-09-07-22.35.10.256682,2005-09-07 22:35:10.432141,"5.577744483947754,-5.156283378601074","0.0,4.625603199005127,0.7272136807441711,0.0,5.936478614807129,2.7186663150787354,2.9466607570648193,1.6784788370132446,0.0,2.977769374847412,0.0,3.951201915740967,0.0,4.977462291717529,3.4365787506103516,0.0","0.0,0.0,0.0,0.0,2.6827001571655273,0.0,0.0,3.0714709758758545,0.0,2.4566121101379395,0.0,0.0,5.232585906982422,6.922422409057617,0.0,5.267017364501953","0.0,4.748280048370361,0.0,0.0,7.570667743682861,3.55082368850708,0.0,0.0,8.113900184631348,0.0,3.87353253364563,0.0,1.1296467781066895,3.538480520248413,5.930136680603027,3.6895759105682373"
5514,94 94 94 94 70 94 94 94 94 94 94 94 218 218 94 94 94 94 94 218 94 94 94 94 314 314 314 314 70 314 314 94 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 70 314 191 314 314 314 314 314 191 191 314 191 191 191 314 314 314 314 314 314 314 99 191 314 191 314 314 191 314 191 191 314 314 191 314 314 314 191 314 191 314 191 191 314 314 314 314 191 314 191 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191 314 314 314 314 314,0,2005-07-28-15.58.10.515056,2005-07-28 15:58:18.394534,"5.5087409019470215,-5.145111083984375","0.0,5.042923450469971,0.9737691879272461,0.0,6.480497360229492,3.047597885131836,3.5191776752471924,1.5622392892837524,0.0,2.569162368774414,0.0,3.3623368740081787,0.0,4.302402973175049,3.6136512756347656,0.0","0.0,0.0,0.0,0.0,3.162341833114624,0.0,0.0,3.466806411743164,0.0,2.9811458587646484,0.0,0.0,5.742192268371582,5.931339263916016,0.0,5.183286190032959","0.0,4.949874401092529,0.0,0.11588957160711288,5.6085991859436035,3.1507036685943604,0.0,0.0,7.863668918609619,0.0,4.214127063751221,0.0,1.2258707284927368,2.6285223960876465,5.230563640594482,4.122226238250732"
8791,94 94 314 314 191 191,0,2005-09-10-05.54.36.778877,2005-09-10 05:54:37.432412,"6.276220798492432,-5.707714557647705","0.0,5.374070644378662,0.5980734825134277,0.0,7.17237663269043,3.4207098484039307,3.4436399936676025,1.9472771883010864,0.0,3.4499175548553467,0.0,4.10209846496582,0.0,5.719673156738281,3.3293657302856445,0.0","0.0,0.0,0.0,0.0,3.049503803253174,0.0,0.0,3.5995233058929443,0.0,2.928828477859497,0.0,0.0,5.802066326141357,7.854002475738525,0.0,6.141048908233643","0.0,5.302915573120117,0.0,0.0,8.198332786560059,3.711900234222412,0.0,0.0,8.851043701171875,0.0,4.39320707321167,0.0,1.0342353582382202,3.7437942028045654,6.541196823120117,4.235482215881348"
8529,94 94 314 314 191 191,0,2005-09-06-02.56.22.128233,2005-09-06 02:56:22.686509,"6.276220798492432,-5.707714557647705","0.0,5.374070644378662,0.5980734825134277,0.0,7.17237663269043,3.4207098484039307,3.4436399936676025,1.9472771883010864,0.0,3.4499175548553467,0.0,4.10209846496582,0.0,5.719673156738281,3.3293657302856445,0.0","0.0,0.0,0.0,0.0,3.049503803253174,0.0,0.0,3.5995233058929443,0.0,2.928828477859497,0.0,0.0,5.802066326141357,7.854002475738525,0.0,6.141048908233643","0.0,5.302915573120117,0.0,0.0,8.198332786560059,3.711900234222412,0.0,0.0,8.851043701171875,0.0,4.39320707321167,0.0,1.0342353582382202,3.7437942028045654,6.541196823120117,4.235482215881348"
8590,94 314 191 94 94 94 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 314 191,0,2005-09-06-20.38.45.399940,2005-09-06 20:39:04.870109,"6.0532732009887695,-5.620107650756836","0.0,5.139125347137451,0.8743185997009277,0.0,6.740485191345215,3.3004846572875977,3.468454360961914,1.6508256196975708,0.0,3.3267621994018555,0.0,4.068201065063477,0.0,5.4893622398376465,3.4936251640319824,0.0","0.0,0.0,0.0,0.0,3.2156245708465576,0.0,0.0,3.4851694107055664,0.0,2.7733569145202637,0.0,0.0,5.874174118041992,7.423913955688477,0.0,5.596193313598633","0.0,5.009832859039307,0.0,0.027139373123645782,8.062880516052246,3.4546658992767334,0.0,0.0,8.489789009094238,0.0,4.2608160972595215,0.0,1.1543840169906616,3.6858878135681152,6.229075908660889,4.1688714027404785"
8153,218 70 70 94 99 314 99 191,0,2005-09-01-15.28.39.560919,2005-09-01 15:28:41.125297,"5.8479156494140625,-5.41552734375","0.0,4.930124759674072,0.718513548374176,0.0,6.517425537109375,2.9163331985473633,3.043307304382324,1.7011094093322754,0.0,3.330956220626831,0.0,4.127391815185547,0.0,5.5289530754089355,3.4097740650177,0.0","0.0,0.0,0.0,0.0,2.7162230014801025,0.0,0.0,3.2425076961517334,0.0,2.477421283721924,0.0,0.0,5.350645065307617,7.456093788146973,0.0,5.6978535652160645","0.0,5.010221481323242,0.0,0.0,7.978579521179199,3.5305228233337402,0.0,0.0,8.654988288879395,0.0,4.072872638702393,0.0,1.0778435468673706,3.6726832389831543,6.293893814086914,3.828423023223877"
8645,259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 259 167 167 259 167 259 167 259 167 45 45 259 167 259 167 259 167 259 167 45 45 259 167 259 167 259 259 259 259 167 167 167 167 45 45 259 45 167 45 45 45 45 45 45 45 45 45 259 167 45 45 45 45 45 45 45 45 45 45,0,2005-09-07-10.12.50.295993,2005-09-07 10:13:25.874591,"5.6189775466918945,-5.223186016082764","0.0,5.122404098510742,0.634742796421051,0.0,6.5653910636901855,3.082695722579956,3.2498202323913574,1.5744268894195557,0.0,2.7513411045074463,0.0,3.5685532093048096,0.0,4.694059371948242,3.5400311946868896,0.0","0.0,0.0,0.0,0.0,3.0102059841156006,0.0,0.0,3.438573122024536,0.0,2.7687251567840576,0.0,0.0,5.88188362121582,6.397705554962158,0.0,5.465945720672607","0.0,5.181013584136963,0.0,0.0,5.947015285491943,3.2627243995666504,0.0,0.0,8.235445022583008,0.0,4.369875907897949,0.0,0.984550416469574,2.8461248874664307,5.429785251617432,4.14684534072876"
8200,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.20.42.496507,2005-09-02 06:20:46.609595,"5.5971527099609375,-5.1598968505859375","0.0,5.020782947540283,0.4344700574874878,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.4734838008880615,0.0,2.672245979309082,0.0,3.357311964035034,0.0,4.506019592285156,3.5538361072540283,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,6.105904579162598,0.0,5.240044593811035","0.0,5.18401575088501,0.0,0.0,5.726758003234863,3.2025704383850098,0.0,0.0,8.273340225219727,0.0,4.3828558921813965,0.0,0.9364176392555237,2.816413402557373,5.385861396789551,4.155723571777344"
8192,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.14.44.183348,2005-09-02 06:15:09.470875,"5.5971527099609375,-5.1598968505859375","0.0,5.020782947540283,0.4344700574874878,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.4734838008880615,0.0,2.672245979309082,0.0,3.357311964035034,0.0,4.506019592285156,3.5538361072540283,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,6.105904579162598,0.0,5.240044593811035","0.0,5.18401575088501,0.0,0.0,5.726758003234863,3.2025704383850098,0.0,0.0,8.273340225219727,0.0,4.3828558921813965,0.0,0.9364176392555237,2.816413402557373,5.385861396789551,4.155723571777344"
8622,219 219 219 219 219 219 219 219,0,2005-09-07-08.02.43.182287,2005-09-07 08:02:44.464276,"5.5096306800842285,-5.036035060882568","0.0,4.440323352813721,0.6280267238616943,0.0,5.756730556488037,2.653484582901001,3.0223352909088135,1.6110808849334717,0.0,2.9496335983276367,0.0,3.9161510467529297,0.0,4.850933074951172,3.342420816421509,0.0","0.0,0.0,0.0,0.0,2.7308716773986816,0.0,0.0,3.072829246520996,0.0,2.624215602874756,0.0,0.0,5.1032023429870605,6.7764153480529785,0.0,5.061397552490234","0.0,4.583117961883545,0.0,0.009472605772316456,7.400694847106934,3.487281084060669,0.0,0.0,7.811471462249756,0.0,3.7226223945617676,0.0,1.2222113609313965,3.5531535148620605,5.757494926452637,3.5481503009796143"
8289,31 30 31 45 45 45 45 45 45 45 45 30 146 31,0,2005-09-02-15.46.29.768428,2005-09-02 15:46:57.550847,"6.024728298187256,-5.5090155601501465","0.0,4.970205307006836,0.6824444532394409,0.0,6.4643988609313965,3.1183130741119385,3.509671926498413,1.7113054990768433,0.0,3.1895008087158203,0.0,4.15300989151001,0.0,5.269078731536865,3.492169141769409,0.0","0.0,0.0,0.0,0.0,3.0660388469696045,0.0,0.0,3.4582149982452393,0.0,3.03306245803833,0.0,0.0,5.759688854217529,7.260217189788818,0.0,5.501049518585205","0.0,4.980556964874268,0.0,0.0,7.8858160972595215,3.6326591968536377,0.0,0.0,8.480926513671875,0.0,4.206934452056885,0.0,1.136031985282898,3.7268006801605225,6.218104839324951,4.076700210571289"
6188,259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 167 259 259 167 167 259 167,0,2005-08-04-14.43.14.000008,2005-08-04 14:43:20.452280,"5.863080024719238,-5.420135498046875","0.0,4.938602447509766,0.6770356297492981,0.0,6.308335304260254,3.006014108657837,3.2498202323913574,1.7000519037246704,0.0,3.1461737155914307,0.0,4.129924297332764,0.0,4.983787536621094,3.490320920944214,0.0","0.0,0.0,0.0,0.0,3.0102059841156006,0.0,0.0,3.3168864250183105,0.0,2.7687251567840576,0.0,0.0,5.668143272399902,7.075989723205566,0.0,5.419103622436523","0.0,5.012689113616943,0.0,0.0,7.6685075759887695,3.6119096279144287,0.0,0.0,8.226563453674316,0.0,4.244561195373535,0.0,0.9937360286712646,3.7128260135650635,6.043750762939453,3.996671199798584"
8202,118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118 118,0,2005-09-02-06.21.53.294440,2005-09-02 06:21:58.067567,"5.5971527099609375,-5.1598968505859375","0.0,5.020782947540283,0.4344700574874878,0.0,6.580574989318848,3.141472101211548,3.475407361984253,1.4734838008880615,0.0,2.672245979309082,0.0,3.357311964035034,0.0,4.506019592285156,3.5538361072540283,0.0","0.0,0.0,0.0,0.0,3.0382277965545654,0.0,0.0,3.5658035278320312,0.0,2.8303089141845703,0.0,0.0,5.776688575744629,6.105904579162598,0.0,5.240044593811035","0.0,5.18401575088501,0.0,0.0,5.726758003234863,3.2025704383850098,0.0,0.0,8.273340225219727,0.0,4.3828558921813965,0.0,0.9364176392555237,2.816413402557373,5.385861396789551,4.155723571777344"
8921,276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 211 211 276 276 211 211 276 276 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 211 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276 276,1,2005-09-13-12.51.56.847089,2005-09-13 12:52:26.231906,"-5.692512512207031,3.966958522796631","2.197356939315796,0.0,0.0,2.7138099670410156,0.0,0.0,0.0,0.0,0.8298445343971252,0.0,2.96219801902771,0.0,2.986708164215088,0.0,0.0,5.0122528076171875","3.533602714538574,5.250320911407471,6.149456977844238,2.0803048610687256,0.0,6.457988262176514,5.499523162841797,0.0,4.425166606903076,0.0,2.632080554962158,8.007068634033203,0.0,0.0,2.7422335147857666,0.0","2.5265274047851562,0.0,3.6828343868255615,0.0,0.0,0.0,2.5253491401672363,0.0,0.0,0.6766305565834045,0.0,0.0,0.0,0.0,0.0,0.0"
